Series_reference,Period,Data_value,Status,Units,Magnitude,Subject,Periodicity,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
PTSA.SA04UB2ND,2016.12,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Bay of Plenty Region,Property type unknown,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HB1NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01HB1NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01HB1NS,2016.09,-1,C,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
PTSA.SA01HB1PD,2016.12,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HB1PJ,2017.06,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HB1PM,2017.03,-1,P,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HB1PS,2016.09,-1,C,Percent,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Proportion of transfers (where affiliation known)
PTSA.SA01HB2ND,2016.12,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HB2NJ,2017.06,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
PTSA.SA01HB2NM,2017.03,-1,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ resident visa (but no citizens),Number of transfers
